代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
014501,市立板橋國中,公立,[01]新北市,[220]新北市板橋區中正路437號,(02)29666498#234,http://www.pcjh.ntpc.edu.tw
014503,市立重慶國中,公立,[01]新北市,[220]新北市板橋區國慶路221號,(02)29543001,http://www.ccjh.ntpc.edu.tw
014504,市立江翠國中,公立,[01]新北市,[220]新北市板橋區松江街63號,(02)22513256,http://www.ctjh.ntpc.edu.tw
014505,市立中山國中,公立,[01]新北市,[220]新北市板橋區文化路一段188巷56號,(02)22508250#201,http://www.csjh.ntpc.edu.tw
014506,市立新埔國中,公立,[01]新北市,[220]新北市板橋區新海路181號,(02)22572275,http://www.hpjh.ntpc.edu.tw
014507,市立新莊國中,公立,[01]新北市,[242]新北市新莊區中正路211號,(02)22766326,http://www.hcjh.ntpc.edu.tw
014508,市立新泰國中,公立,[01]新北市,[242]新北市新莊區新泰路359號,(02)29960745,http://www.htjh.ntpc.edu.tw
014509,市立福營國中,公立,[01]新北市,[242]新北市新莊區富國路105號,(02)22045556,http://www.fyjh.ntpc.edu.tw
014510,市立頭前國中,公立,[01]新北市,[242]新北市新莊區中原路2號,(02)85222862,http://www.tqjh.ntpc.edu.tw/default.asp
014512,市立光榮國中,公立,[01]新北市,[241]新北市三重區介壽路26號,(02)29721430,http://www.grjh.ntpc.edu.tw
014513,市立明志國中,公立,[01]新北市,[241]新北市三重區中正北路107號,(02)29844132,http://www.mcjh.ntpc.edu.tw
014514,市立碧華國中,公立,[01]新北市,[241]新北市三重區自強路五段66號,(02)29851121,http://www.bhjh.ntpc.edu.tw
014516,市立永和國中,公立,[01]新北市,[234]新北市永和區國中路111號,(02)29214209,http://www.jhjhs.ntpc.edu.tw
014517,市立福和國中,公立,[01]新北市,[234]新北市永和區永利路71號,(02)29261836,http://www.fhjh.ntpc.edu.tw
014518,市立中和國中,公立,[01]新北市,[235]新北市中和區興南路二段3巷17號,(02)29422270,http://www.chjhs.ntpc.edu.tw
014519,市立積穗國中,公立,[01]新北市,[235]新北市中和區民安街66號,(02)22234747,http://www.gsjh.ntpc.edu.tw
014520,市立漳和國中,公立,[01]新北市,[235]新北市中和區廣福路39號,(02)22488616,http://www.chjh.ntpc.edu.tw
014521,市立鶯歌國中,公立,[01]新北市,[239]新北市鶯歌區尖山埔路108號,(02)26701461,http://www.ykjhs.ntpc.edu.tw
014523,市立柑園國中,公立,[01]新北市,[238]新北市樹林區柑園街二段125號,(02)26801958,http://www.gyjh.ntpc.edu.tw
014524,市立土城國中,公立,[01]新北市,[236]新北市土城區永寧路18號,(02)22675135#102,http://www.tcjh.ntpc.edu.tw
014525,市立三峽國中,公立,[01]新北市,[237]新北市三峽區復興路238號,(02)26711043,http://www.shjhs.ntpc.edu.tw
014527,市立八里國中,公立,[01]新北市,[249]新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw
014528,市立泰山國中,公立,[01]新北市,[243]新北市泰山區泰林路二段498號,(02)2296-2519,http://www.ttcjh.ntpc.edu.tw
014529,市立五股國中,公立,[01]新北市,[248]新北市五股區成泰路二段49巷15號,(02)22915224,http://www.wkjh.ntpc.edu.tw
014530,市立蘆洲國中,公立,[01]新北市,[247]新北市蘆洲區中正路265號,(02)22811571,http://www.lcjh.ntpc.edu.tw
014531,市立林口國中,公立,[01]新北市,[244]新北市林口區民治路25號,(02)26011014,http://www.lkjh.ntpc.edu.tw
014533,市立汐止國中,公立,[01]新北市,[221]新北市汐止區禮門里大同路二段394號,(02)26412065,http://www.hcjhs.ntpc.edu.tw
014534,市立淡水國中,公立,[01]新北市,[251]新北市淡水區文化里真理街10號,(02)26218821,http://www.tsjh.ntpc.edu.tw
014536,市立三芝國中,公立,[01]新北市,[252]新北市三芝區淡金路一段38號,(02)26362004,http://www.szjh.ntpc.edu.tw
014537,市立石門國中,公立,[01]新北市,[253]新北市石門區中央路1之9號,(02)26381273,http://www.smjh.ntpc.edu.tw
014539,市立萬里國中,公立,[01]新北市,[207]新北市萬里區獅頭路24號,(02)24922053,http://www.wljhs.ntpc.edu.tw
